candidate_id,context_id,counterfactual_label_available,label_status,leakage_safe,short_probe_delta_ratio,success_delta
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:291,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:292,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:293,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:294,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:295,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:296,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:297,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:298,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:299,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:300,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:301,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:302,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:303,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:304,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:305,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:306,False,unavailable_no_replay_snapshot,True,,
